 순번 , 지자체명 , 업종 , 단계 , 구간시작(세제곱미터)  , 구간끝(세제곱미터)  , 구간금액(원)  , 단계별 기본요금(원)  
1, 동두천시 , 가정용 ,1,1,20,690,
2, 동두천시 , 가정용 ,2,21,30,1090,
3, 동두천시 , 가정용 ,3,31,999999,1530,
4, 동두천시 , 일반용 ,1,1,100,1410,
5, 동두천시 , 일반용 ,2,101,300,1480,
6, 동두천시 , 일반용 ,3,301,1000,1560,
7, 동두천시 , 일반용 ,4,1001,999999,1700,
8, 동두천시 , 일반용(미) ,1,1,1000,1090,
9, 동두천시 , 일반용(미) ,2,1001,9999999,1200,
10, 동두천시 , 전용공업용 ,1,1,999999,510,
11, 동두천시 , 발전용 ,1,1,999999,640,
12, 파주시 , 가정용 ,1,1,20,570,
13, 파주시 , 가정용 ,2,21,30,760,
14, 파주시 , 가정용 ,3,31,9999999,1110,
15, 파주시 , 일반용 ,1,1,50,1110,
16, 파주시 , 일반용 ,2,51,100,1330,
17, 파주시 , 일반용 ,3,101,300,1500,
18, 파주시 , 일반용 ,4,301,9999999,1620,
19, 파주시 , 대중목욕탕용 ,1,1,500,780,
20, 파주시 , 대중목욕탕용 ,2,501,1000,1050,
21, 파주시 , 대중목욕탕용 ,3,1001,2000,1160,
22, 파주시 , 대중목욕탕용 ,4,2001,9999999,1250,
23, 파주시 , 학교용 ,1,1,9999999,1110,
24, 광주시 , 가정용 ,1,1,20,400,
25, 광주시 , 가정용 ,2,21,30,570,
26, 광주시 , 가정용 ,3,31,9999999,920,
27, 광주시 , 일반용 ,1,1,50,890,
28, 광주시 , 일반용 ,2,51,100,1110,
29, 광주시 , 일반용 ,3,101,300,1250,
30, 광주시 , 일반용 ,4,301,500,1390,
31, 광주시 , 일반용 ,5,501,9999999,1470,
33, 광주시 , 대중탕용 ,1,1,1000,760,
34, 광주시 , 대중탕용 ,2,1001,1500,970,
35, 광주시 , 대중탕용 ,3,1501,2000,1110,
36, 광주시 , 대중탕용 ,4,2001,9999999,1220,
37, 양주시 , 가정용 ,1,1,10,539,
38, 양주시 , 가정용 ,2,11,20,879,
39, 양주시 , 가정용 ,3,21,999999,1218,
40, 양주시 , 일반용 ,1,1,75,1125,
41, 양주시 , 일반용 ,2,76,150,1488,
42, 양주시 , 일반용 ,3,151,999999999,1840,
43, 양주시 ,욕탕용,1,1,999999999,1312,
44, 양주시 ,전용공업용,1,1,999999999,726,
